epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.30719,0.7843,0.99251,1,0.03815,0.000330882,0.000330882,0.000330882
2,16.0905,0.09021,0.99304,1,0.01919,0.000651064,0.000651064,0.000651064
3,23.4856,0.1015,0.98929,1,0.03329,0.000958046,0.000958046,0.000958046
4,30.6806,0.11442,0.98769,1,0.03433,0.0009406,0.0009406,0.0009406
5,38.1233,0.07265,0.99304,1,0.02038,0.0009208,0.0009208,0.0009208
6,45.4034,0.06485,0.99251,1,0.01728,0.000901,0.000901,0.000901
7,52.8027,0.04335,0.99786,1,0.00704,0.0008812,0.0008812,0.0008812
8,60.1815,0.03656,0.99518,1,0.01666,0.0008614,0.0008614,0.0008614
9,67.419,0.02992,0.99732,1,0.01144,0.0008416,0.0008416,0.0008416
10,74.6598,0.0258,0.99358,1,0.023,0.0008218,0.0008218,0.0008218
11,81.8461,0.02381,0.99518,1,0.01546,0.000802,0.000802,0.000802
12,89.1773,0.02777,0.99786,1,0.01276,0.0007822,0.0007822,0.0007822
13,96.322,0.02409,0.99679,1,0.00952,0.0007624,0.0007624,0.0007624
14,104.199,0.0368,0.9909,1,0.03355,0.0007426,0.0007426,0.0007426
15,111.709,0.02547,0.99625,1,0.013,0.0007228,0.0007228,0.0007228
16,118.982,0.03347,0.99572,1,0.01287,0.000703,0.000703,0.000703
17,126.447,0.02521,0.99518,1,0.01799,0.0006832,0.0006832,0.0006832
18,133.661,0.01912,0.99839,1,0.00382,0.0006634,0.0006634,0.0006634
19,141.086,0.01418,0.99946,1,0.00436,0.0006436,0.0006436,0.0006436
20,148.734,0.01323,0.99893,1,0.00459,0.0006238,0.0006238,0.0006238
21,155.969,0.01292,0.99946,1,0.00436,0.000604,0.000604,0.000604
22,163.359,0.01698,0.99732,1,0.00812,0.0005842,0.0005842,0.0005842
23,170.87,0.01566,0.99572,1,0.01455,0.0005644,0.0005644,0.0005644
24,178.139,0.01664,0.99839,1,0.00364,0.0005446,0.0005446,0.0005446
25,185.574,0.01577,0.99946,1,0.00573,0.0005248,0.0005248,0.0005248
26,193.018,0.02007,0.99197,1,0.01825,0.000505,0.000505,0.000505
27,200.113,0.01547,0.99786,1,0.00502,0.0004852,0.0004852,0.0004852
28,207.553,0.01274,0.99786,1,0.00409,0.0004654,0.0004654,0.0004654
29,214.8,0.01505,0.99732,1,0.00919,0.0004456,0.0004456,0.0004456
30,222.164,0.01068,0.99946,1,0.0018,0.0004258,0.0004258,0.0004258
31,229.649,0.00692,0.99946,1,0.00184,0.000406,0.000406,0.000406
32,237.228,0.00876,0.99946,1,0.00131,0.0003862,0.0003862,0.0003862
33,244.723,0.00637,0.99946,1,0.0012,0.0003664,0.0003664,0.0003664
34,252.17,0.00387,0.99946,1,0.00141,0.0003466,0.0003466,0.0003466
35,259.494,0.00643,0.99946,1,0.00159,0.0003268,0.0003268,0.0003268
36,267.041,0.00793,0.99946,1,0.00167,0.000307,0.000307,0.000307
37,274.344,0.00485,0.99893,1,0.00248,0.0002872,0.0002872,0.0002872
38,281.661,0.0034,0.99946,1,0.00097,0.0002674,0.0002674,0.0002674
39,289.064,0.00441,0.99946,1,0.00099,0.0002476,0.0002476,0.0002476
40,296.433,0.00282,0.99946,1,0.00233,0.0002278,0.0002278,0.0002278
41,304.766,0.00527,0.99839,1,0.00435,0.000208,0.000208,0.000208
42,312.202,0.00492,0.99946,1,0.00301,0.0001882,0.0001882,0.0001882
43,319.655,0.00267,0.99946,1,0.00201,0.0001684,0.0001684,0.0001684
44,327.079,0.00433,0.99946,1,0.00204,0.0001486,0.0001486,0.0001486
45,334.52,0.00217,0.99946,1,0.00235,0.0001288,0.0001288,0.0001288
46,342.092,0.00242,0.99946,1,0.00235,0.000109,0.000109,0.000109
47,349.721,0.00303,0.99946,1,0.00257,8.92e-05,8.92e-05,8.92e-05
48,357.025,0.00164,0.99946,1,0.00234,6.94e-05,6.94e-05,6.94e-05
49,364.549,0.00172,0.99946,1,0.00204,4.96e-05,4.96e-05,4.96e-05
50,372.078,0.00292,0.99946,1,0.00214,2.98e-05,2.98e-05,2.98e-05
